338; ;Социальная работа
376;https://vk.com/deutschseidank;немецкий
817; ;Социология
1019;https://vk.com/1deutschland;немецкий
1209; ;Реклама и связи с общественностью
1692; ;Филология
1918; ;Литературное творчество
2002; ;искусство
2431; ;вуз
2686; ;Филология
2723; ;Лингвистика. Перевод и переводоведение
2974; ;психология
4051; ;культурология
4574; ;Социология
5052; ;Лингвистика. Перевод и переводоведение
5338; ;Гидрометеорология
5356; ;геология
5704; ;Политология
5894; ;Социология
5895; ;Социология
6386; ;обществознание
6591; ;Управление качеством
7250; ;искусство
7258; ;Социология
7910; ;Организация работы с молодежью
8080; ;Лингвистика. Перевод и переводоведение
8281; ;психология
8297; ;Лингвистика. Перевод и переводоведение
9082; ;Международные отношения
9925; ;культурология
10540; ;вуз
12425;https://vk.com/club12425;немецкий
15503; ;история
17626; ;Политология
18257; ;Социальная работа
21758; ;Политология
24017; ;Лингвистика. Перевод и переводоведение
24054; ;Философия
25306; ;Лингвистика. Перевод и переводоведение
29516; ;Инноватика
30701; ;Политология
32314; ;Лингвистика. Перевод и переводоведение
34442; ;Лингвистика. Перевод и переводоведение
34893; ;Политология
35428; ;история
37599; ;Социальная работа
37856; ;Лингвистика. Перевод и переводоведение
38029; ;вуз
41524; ;Природопользование
41637; ;Инноватика
42331; ;Гидрометеорология
45144; ;Лингвистика. Перевод и переводоведение
47191; ;Политология
53661; ;Социология
54079; ;Политология
55709; ;Инноватика
55765; ;Организация работы с молодежью
57206; ;Организация работы с молодежью
61968; ;Инноватика
69641; ;Социология
70937; ;Филология
74386; ;Инноватика
76275; ;вуз
76990; ;Природопользование
77616; ;Организация работы с молодежью
84070; ;Социальная работа
93099; ;Инноватика
95322; ;литература
95336; ;Социология
98554; ;Лингвистика. Перевод и переводоведение
108662; ;Международные отношения
113675; ;Лингвистика. Перевод и переводоведение
118203; ;история
118764; ;Лингвистика. Перевод и переводоведение
119331; ;химия
119430; ;Лингвистика. Перевод и переводоведение
123525; ;Социальная работа
129819; ;Организация работы с молодежью
131836; ;Философия
137448; ;Инноватика
142116; ;литература
145599; ;Управление качеством
146312; ;Литературное творчество
147220; ;Социальная работа
148321; ;Философия
154779; ;Политология
155338; ;Социальная работа
156349; ;Организация работы с молодежью
169124; ;Лингвистика. Перевод и переводоведение
171394; ;геология
178744; ;Организация работы с молодежью
179217; ;Социология
182962; ;Инноватика
183689; ;Лингвистика. Перевод и переводоведение
183732; ;искусство
187145; ;Лингвистика. Перевод и переводоведение
190703; ;Социальная работа
193527;https://vk.com/club193527;немецкий
202167; ;Социология
206908; ;Лингвистика. Перевод и переводоведение
210002; ;Филология
218474; ;Философия
220664; ;вуз
221778; ;Филология
222497; ;Лингвистика. Перевод и переводоведение
228311; ;Филология
228912;https://vk.com/club228912;немецкий
234761; ;Организация работы с молодежью
237485; ;Природопользование
241703; ;Социология
242173; ;вуз
244496; ;Природопользование
245623; ;Природопользование
245811; ;Природопользование
249720; ;Лингвистика. Перевод и переводоведение
254585; ;Лингвистика. Перевод и переводоведение
258524; ;Политология
266460; ;Социальная работа
280701; ;Физика
286577; ;культура
286747; ;Лингвистика. Перевод и переводоведение
290683; ;Литературное творчество
293884; ;Международные отношения
296662; ;Политология
299364; ;культурология
305448; ;Социология
310385; ;Социальная работа
315816; ;Филология
320231; ;Социология
328011; ;Гидрометеорология
341621; ;Философия
348403; ;Природопользование
350169; ;Управление качеством
359911; ;культурология
360192; ;Инноватика
375600; ;Природопользование
377370; ;Лингвистика. Перевод и переводоведение
377781; ;Лингвистика. Перевод и переводоведение
379354; ;культурология
388418; ;издательское дело
392339; ;Политология
394792; ;геология
403164; ;Организация работы с молодежью
405769; ;Лингвистика. Перевод и переводоведение
409048; ;Инноватика
409683; ;Социальная работа
414517; ;Политология
420581; ;Управление качеством
421180; ;Филология
424303; ;Физика
437162; ;Организация работы с молодежью
447933;https://vk.com/club447933;немецкий
448239; ;Инноватика
459063; ;Социальная работа
459068; ;Социальная работа
461726; ;история
485731; ;иностранные языки
494593; ;Природопользование
498310; ;геология
505075; ;Международные отношения
510548;https://vk.com/club510548;немецкий
515890; ;культурология
524993; ;история
525091; ;Международные отношения
543893; ;Социальная работа
548752; ;Социальная работа
551612; ;геология
556333; ;Филология
565095; ;Лингвистика. Перевод и переводоведение
574489; ;Социальная работа
576652; ;Лингвистика. Перевод и переводоведение
577690; ;Лингвистика. Перевод и переводоведение
579636; ;Природопользование
594952; ;Социальная работа
597096; ;Природопользование
614179; ;обществознание
614606; ;Природопользование
616369; ;Природопользование
640200; ;Социальная работа
643536; ;Лингвистика. Перевод и переводоведение
643574; ;Лингвистика. Перевод и переводоведение
658126; ;Организация работы с молодежью
659898; ;Физика
671615; ;Организация работы с молодежью
679373; ;Организация работы с молодежью
683165; ;Лингвистика. Перевод и переводоведение
687948; ;Лингвистика. Перевод и переводоведение
688813; ;Организация работы с молодежью
708694; ;геология
709594; ;Организация работы с молодежью
715071; ;Лингвистика. Перевод и переводоведение
723074; ;Организация работы с молодежью
733992; ;Лингвистика. Перевод и переводоведение
743034; ;Гидрометеорология
753030; ;Социология
768226; ;Философия
773350; ;Филология
776305; ;Социология
780011; ;Природопользование
781688; ;Лингвистика. Перевод и переводоведение
791406; ;Физика
795668; ;Социальная работа
816242; ;Социальная работа
821510; ;Социальная работа
826599; ;Природопользование
831308; ;Организация работы с молодежью
831879; ;Лингвистика. Перевод и переводоведение
841347; ;Управление качеством
852325; ;учёба (курсы. программы. ЕГЭ)
852484; ;Лингвистика. Перевод и переводоведение
853349; ;Социология
859041; ;Философия
862311; ;Социальная работа
866126; ;геология
867562; ;Гидрометеорология
875631; ;Инноватика
875895; ;Социальная работа
886871; ;Социальная работа
890132; ;Управление качеством
904682; ;Лингвистика. Перевод и переводоведение
908259; ;Социология
908293; ;Социальная работа
915886; ;Лингвистика. Перевод и переводоведение
920698;https://vk.com/club920698;немецкий
924800; ;Филология
926020; ;Гидрометеорология
938295; ;вуз
944630; ;учёба (курсы. программы. ЕГЭ)
948636; ;Реклама и связи с общественностью
949133; ;Социология
958593; ;Природопользование
964831; ;Философия
972705; ;вуз
975878; ;вуз
981419; ;Социальная работа
989563; ;Философия
994791; ;Социальная работа
1001440; ;Лингвистика. Перевод и переводоведение
1002418; ;Филология
1023174; ;Природопользование
1045065; ;вуз
1049390; ;Социология
1050730; ;Политология
1054623; ;Социология
1067625; ;Филология
1083731; ;культурология
1087585;https://vk.com/club1087585;немецкий
1090253; ;Социальная работа
1100498; ;Социальная работа
1103224; ;история
1122375; ;Инноватика
1132724; ;Философия
1137471; ;Филология
1139312; ;Реклама и связи с общественностью
1154264; ;Гидрометеорология
1156551; ;Социология
1175022; ;Политология
1178183; ;Лингвистика. Перевод и переводоведение
1208321; ;Природопользование
1210158; ;Организация работы с молодежью
1215824; ;Социальная работа
1228818; ;Природопользование
1239487; ;Социальная работа
1249064; ;Лингвистика. Перевод и переводоведение
1253973; ;Социальная работа
1274369; ;обществознание
1277115; ;Реклама и связи с общественностью
1298562; ;Социальная работа
1302897; ;Управление качеством
1308070; ;Политология
1315468; ;Организация работы с молодежью
1329549; ;Социальная работа
1330016; ;Социальная работа
1338143; ;Гидрометеорология
1371843;https://vk.com/club1371843;немецкий
1392581; ;Природопользование
1394426;https://vk.com/jugendheim;немецкий
1402175; ;Лингвистика. Перевод и переводоведение
1423100; ;Международные отношения
1429088; ;Организация работы с молодежью
1429182; ;культурология
1430907; ;Философия
1435330; ;Лингвистика. Перевод и переводоведение
1442287; ;культурология
1454005; ;Организация работы с молодежью
1462178; ;Организация работы с молодежью
1488116;https://vk.com/club1488116;немецкий
1492391;https://vk.com/club1492391;немецкий
1496865; ;Организация работы с молодежью
1506863;https://vk.com/club1506863;немецкий
1516155; ;Социальная работа
1530368; ;Политология
1531149; ;Организация работы с молодежью
1543002; ;Социальная работа
1568213; ;Гидрометеорология
1576263; ;Управление качеством
1601584; ;Лингвистика. Перевод и переводоведение
1606824; ;Лингвистика. Перевод и переводоведение
1607323; ;Физика
1641228; ;Социальная работа
1647855; ;Организация работы с молодежью
1660253; ;Лингвистика. Перевод и переводоведение
1666444; ;Организация работы с молодежью
1694276; ;Гидрометеорология
1694622; ;Инноватика
1739391; ;Организация работы с молодежью
1741593;https://vk.com/club1741593;немецкий
1748611; ;Организация работы с молодежью
1750298; ;Организация работы с молодежью
1762908; ;иностранные языки
1768619; ;Природопользование
1776901; ;учёба (курсы. программы. ЕГЭ)
1806294; ;Социальная работа
1812808; ;Инноватика
1824973; ;Социальная работа
1844215; ;Социальная работа
1846661; ;Социальная работа
1912423; ;Лингвистика. Перевод и переводоведение
1934485; ;Социальная работа
1963057; ;Международные отношения
1968483; ;культурология
1975466; ;история
1975494; ;Лингвистика. Перевод и переводоведение
1985914; ;Лингвистика. Перевод и переводоведение
1995476; ;Организация работы с молодежью
1997415; ;Организация работы с молодежью
2002737; ;Филология
2015743; ;Организация работы с молодежью
2019635; ;Философия
2037508; ;Социальная работа
2046466; ;Физика
2063770; ;Лингвистика. Перевод и переводоведение
2070780; ;культурология
2075915; ;Инноватика
2100409; ;Лингвистика. Перевод и переводоведение
2103197; ;Лингвистика. Перевод и переводоведение
2164964; ;Организация работы с молодежью
2181080; ;Управление качеством
2187048; ;биология
